accuracy,loss,val_accuracy,val_loss
0.9371795058250427,0.4126025140285492,0.9230769276618958,0.3278934359550476
0.9371795058250427,0.2809614837169647,0.9230769276618958,0.3308543562889099
0.9371795058250427,0.2715948820114136,0.9230769276618958,0.3313690721988678
0.9371795058250427,0.27424153685569763,0.9230769276618958,0.31267249584198
0.9371795058250427,0.2666822075843811,0.9230769276618958,0.3312282860279083
0.9371795058250427,0.26280292868614197,0.9230769276618958,0.28197118639945984
0.9384615421295166,0.23016983270645142,0.9384615421295166,0.19840466976165771
0.9589743614196777,0.1633475422859192,0.9435897469520569,0.18506772816181183
0.9602563977241516,0.15088967978954315,0.9589743614196777,0.18142855167388916
0.9628205299377441,0.16557157039642334,0.9538461565971375,0.20421381294727325
